cliente	mes	tipo	valor						
1983	2023-09-01 00:00:00.000	OUTROS CUSTOS	-996						
5912	2023-09-01 00:00:00.000	NADA	0						
26122	2023-04-01 00:00:00.000	SOFTWARE	-9421						
31367	2023-04-01 00:00:00.000	NADA	0						
31795	2023-07-01 00:00:00.000	NADA	0						
29027	2023-07-01 00:00:00.000	SOFTWARE	-1075						
30032	2023-02-01 00:00:00.000	DESPESA COM VIAGEM	-6474						
31977	2023-08-01 00:00:00.000	MARKETING	-4601						
7890	2023-04-01 00:00:00.000	DESPESA COM VIAGEM	-1085						
7498	2023-05-01 00:00:00.000	OUTROS CUSTOS	-997						
7646	2023-06-01 00:00:00.000	SOFTWARE	-7622						
27252	2023-01-01 00:00:00.000	DESPESA COM VIAGEM	-3892						
30861	2023-01-01 00:00:00.000	MARKETING	-4543						
30352	2023-04-01 00:00:00.000	NADA	0						
31364	2023-04-01 00:00:00.000	MARKETING	-4898						
18380	2023-07-01 00:00:00.000	SOFTWARE	-279						
31219	2023-03-01 00:00:00.000	NADA	0						
19786	2023-08-01 00:00:00.000	DESPESA COM VIAGEM	-4466						
31914	2023-09-01 00:00:00.000	MARKETING	-140						
15899	2023-03-01 00:00:00.000	MARKETING	-4927						
26101	2023-04-01 00:00:00.000	DESPESA COM VIAGEM	-4055						
29874	2023-07-01 00:00:00.000	NADA	0						
31695	2023-08-01 00:00:00.000	NADA	0						
12344	2023-03-01 00:00:00.000	NADA	0						
28163	2023-01-01 00:00:00.000	OUTROS CUSTOS	-552						
17575	2023-02-01 00:00:00.000	NADA	0						
12154	2023-04-01 00:00:00.000	SOFTWARE	-7433						
27283	2023-08-01 00:00:00.000	NADA	0						
31720	2023-09-01 00:00:00.000	SOFTWARE	-3056						
16880	2023-05-01 00:00:00.000	NADA	0						
30059	2023-06-01 00:00:00.000	NADA	0						
78	2023-09-01 00:00:00.000	NADA	0						
10188	2023-08-01 00:00:00.000	NADA	0						
27068	2023-05-01 00:00:00.000	NADA	0						
15713	2023-05-01 00:00:00.000	NADA	0						
31371	2023-08-01 00:00:00.000	SOFTWARE	-2268						
